,reviews
733,marseille to london i am generally annoyed with the quality of the service i believe that we should not have to pay for a glass of water with slice of lemon in a ba flight i realised that i forgot a big duty free bag in the plane after the passport control i went to the ba helpdesk the staff sent me to terminal at the lost and found to pick up my bag while it was not even there luckily i decided to stop on the way in the lost and found of terminal where they the friendly lost and found staff and not the ba staff nicely explained me that there was no point for me to go there and called some other agents to help me
734,the cabin crew on flight ba london to chennai were very efficient and did their best to take care of their clients i did tell them i would write a review and here it is keep up the good service and thanks
735,gatwick to malaga check in was fairly quick the check in area at gatwick is quite nice although they are failing with general upkeep the whole area needed vacuuming and there were stains and signs of chewing gum on the carpets if youre not going to look after it then you better just having normal airport flooring the lounge at gatwick is really nice and whilst it was very busy there were still available comfy and desk style chairs to suit the food and drink offering was very good tasty and varied on board i was lucky to be able to book the exit row which actually makes the seats better than club in my opinion food and drinks service was fairly slow although being near the front this wasnt a problem for me the food offering is fairly poor really a couple of sandwiches or snacks drinks selection is better what was very nice was near the end of the flight i was given a free glass of champagne for being a silver member i wouldnt expect this and im sure its just because they had a bottle to use up but it was a nice gesture to show to frequent flyers still no wifi or wifi based in flight entertainment offered priority bag tags as usual are kind of irrelevant my bag took quite a long time to come through and was preceded by dozens of non priority bags overall a decent flight and very good value as i paid using avios being silver and getting lounge access and free seat selection was a massive plus
736,boston to london heathrow was excited to experience a for the first time paid a steep for the seat selection on the upper deck was very comfortable with storage cabin beneath the window seat itself was the standard one comfortable the boarding was efficiently managed for such a large aircraft there was never a massive crowd in front of the gate the inflight service for the outbound leg was less than ideal the food was very mediocre at best not worth losing sleep over it there was serious bumps along the way midflight the a being so massive easily absorbed it return was on a b flight was not full but almost full the inflight service and the food served were both remarkably better than the outbound journey the baggage drop area however was a disaster none of the machines worked and there was single kind hearted person assisting passengers the boarding was again very orderly both outbound and inbound ife was good but not as good as some long haul carriers if both legs had similar cabin crew and food i would have scored them higher
737,london to cape town in first and our first taste of the new soft product still unfortunately a yearold that hadnt had its refurbishment and was showing its age a wardrobe door thats falling off its hinges a nontouch touch screen and a cupboard door in the washroom that wont stay shut dont pass muster in first and blemish the impression of the positive changes in the onboard service the young mixed fleet crew did a reasonable job and served drinks and food efficiently without the wait other reviewers have complained about care was also taken in preparing and plating up the food for once nothing was overcooked and even the beef was decent bedding is also improved with a good quality duvet and large pillow the ife remains the same lowres screen quality and the new headphones are uncomfortable worn for more than the duration of a single film the goodies bag is much better and worth taking home overall a pretty good flight but it remains to be seen what ba will do with its longinthetooth first class when their new club suites are launched
738,this review is specifically aimed at the excellent cabin crew on ba from jfk new york to heathrow on tue th may i was travelling back from new york following a few days break with girlfriends check in and boarding was all on schedulehowever it was identified that there was a technical problem and the captain advised passengers that some assistance was required to rectify the issue this resulted in over an hours delay leaving ny despite this annoying delay the cabin crew more than made up for this they were friendly polite and couldnt do enough to ensure our journey was comfortable and enjoyable they were all exceptional even those that were not serving in the section i was in i do hope that this information is passed on
739,london to aberdeen before boarding the flight i was forced to check in my bag at the gate because apparently the flight was full and i was boarding in group i was traveling with the permitted allowance and discussed with the lady at the boarding gate i saw people boarding with tax free bags on top of the other bags being almost the last on the plane there was free spaces to accommodate bags i was not happy because i had the permitted allowance
740,gatwick to dubrovnik overcrowded lounges business class seats same as economy with middle seat empty lgw lounge opens one hr before some eu flights in morning only and met by a large queue and now frequent flyers dont get free baggage anymore on long haul cheap tickets
741,i paid an extra for two premium economy seats on this long haul flight and was very disappointed the seat felt small and was shabby the tv screen was small and very dark i tried to adjust it but it was still unwatchable the whole experience was very poor not premium in any way the return flight was a code share with japan airines which was premium a whole different experience i would be happy to pay for their premium seats i would advise avoid british airways premium economy as it is far from premium i felt a complete waste of 
742,faro to heathrow flight was very good no issues at all but yet again baggage collection was a disaster we fly club or first all the time and without fail the baggage is always last off spoke to ba desk and they were clueless and had no idea why this happens or how to stop it and correct it same happened on flight out too it is a shambles and a disgrace waited mins got cases at heathrow and this is unacceptable will kit be using them again avoid at all costs
743,vancouver to london an excellent flight on ba i travel this route several times a year and generally ba are much better than ac especially on this flight ba were way ahead of the competition seats comfortable food pretty good for economy decent wine and the in flight crew simply outstanding professional smiling friendly they embodied ba at their very best
744,gatwick to tenerife all so wrong lounge really overcrowded food on the plane pretty horrid left most of it paid for and travelling business class and allocated four rows away from my partner this is normal procedure apparently on top of a six night holiday i should have paid another hundred pounds plus to sit with my partner total madness this is an airline with a self destruct button such a shamehave just booked norwegian for our next flights to barcelona and buenos aires did not even bother to look at ba
745,washington to london having travelled out to washington from heathrow on first class i wasnt overly impressed although the concorde room was relaxing and comfortable the bar staff were a mixture of attentive and somewhat dismissive the cabin crew were polite but quite surgical in their manner which gave an overall impression of a cold and clinical approach my return journey couldnt have been more different the ba lounge was very well presented with a fantastic choice of both food and drink but the hilight of my return flight were the engaging nature of the cabin crew nothing short of amazing i was offered the usual amenities upon boarding but what set this flight apart from the start was the very happy and friendly nature of the crew absolutely nothing was too much trouble and they took the time to chat with me and showed a real general interest in what we talked about demeanour was perfect with both a very professional yet relaxing and engaging approach a fantastic sense of humour and seemed genuinely delighted to assist having had mixed levels of service with ba and always flying virgin i think ba need to track down this staff member and use her as the model for all future cabin crew training
746,rome fiumicino to london city a ba cityflyer service no wait to check in aircraft was not full we pushed back early and arrived early this route still has complimentary refreshments in economy including wine a great bonus and pleasant surprise cabin service was pleasant and professional a really excellent flight
747,london to shanghai the most disappointing business class i have flown in a long time the plane was old worn and dirty there were crumbs of food on the seat and the floor from a previous flight it took hours to for drinks service to reach my seat after take off the food followed shortly which was over cooked they seemed to be short on staff however what made me really angry was that there were people in the cabin who had had both drinks and food and were having their beds turned down before id even been offered a drink the service was exceptionally poor i am flying home tomorrow and am not looking forward to the flight as a gold card holder you might have thought ba would check their frequent fliers are being looked after ill return to using other airlines in the one world group for my long haul trips such as cathay jal or finnair the only reason that ive given more than one star is that i managed to sleep quite well the bedding and pillows were good ultimately though sorry ba not good enough
748,their customer service is horrible lost our bags here we sit in london after days of wearing the same clothing we fly out in hours to barcelona for a day cruise and have pretty much lost any hope of being reunited with our bags before we go i spent so much on this trip to celebrate my husbands th birthday and our th wedding anniversary it was supposed to be our trip of a lifetime we have really been trying to make light of things but not getting our bags today as its now friday and we left on tuesday am from seattle is heartbreaking not one single person at british airways has handled this with any kind of urgency or empathy for that matter one customer service agent even asked me if we would be ok getting out to heathrow to pick them up truly the worst customer experience ive had
749,london city to zurich i fly this route a lot around times per year the flight was delayed initially by an hour i was kept up to date via the app so i was not disappointed around minutes into the flight one of the crew member came over with a card in his hands wishing me a happy birthday followed by a bottle of champagne brandy etc this was totally unexpected it made my day thanks to the crew
750,i booked a flight from bucharest to london and return and when we were at the airport they informed us that the flight will be delayed for hours from am to pm then another hour and a half until pm we lost the money we paid for the bus tickets and they would not refund returning to bucharest our flight was delayed and they did not inform us about it i understand that unforeseen situation can happen but i have never seen such a poorly prepared company in my life
751,london to calgary thank you to james a club world flight attendant on ba april his service was impeccable attentive and delightful i thoroughly enjoyed the flight
752,vancouver to london we were upgraded to business class at the airport the staff were absolutely delightful and had a fabulous trip really they could not have been more helpful and i would recommend them
753,miami to london heathrow with british airways top deck of with one experienced and one new crew members perfect welcome and appreciated the method of selecting what and when to have for breakfast had a starter and then settled down and slept better than expected ontime arrival and aa arrivals lounge was quiet with good showers
754,houston to london the plane left an hour late while an engineer dealt with a problem ive no problem with that i like travelling safely i thought well im sure id booked an aisle seat online but it appears it was a window i missed out on the airline meal and when i realised i buzzed the steward and requested a sandwich and water explaining the problem he fetched me a sandwich and various bits hed scrabbled together from the kitchen later when the liquid refreshment cane round both my neighbour and i requested water and i had to reach across him for my drink as he helped himself to his drink and left me to it
755,london to delhi the worst business class trip for us seats much smaller than business class on singapore air thai international eva air qantas not seated together same surname mr and mrs but moved after no privacy on middle seats one tiny drawer is only storage for shoes ipad makeup and sponge bag book etc filmtv selection was very limited and my choice wasnt working the food was very poor main course congealed and so basic with a dessert that was pathetic no tea coffee or chocolates offered to us breakfast had no jam with the croissant nobody came round during the flight offering extra water or other beverages the crew didnt put themselves out if one pays more for business class one expects more and we didnt get it i would never choose to travel ba again
756,bucharest to london my flight with british airways was hours delayed from a european destination to london i applied for compensation for this delay initially i was informed that under eu regulations i would receive euros compensation to be informed days later that this was an error and that i was no longer getting compensated british airways argued that sickness of a crew member is considered extraordinary circumstances comparable with weather issues and that therefore they do not have to compensate passengers for this flight however there are court precedence cases that clearly show that crew sickness is not to be considered an extraordinary circumstance and that it is in an airlines responsibility to have a contingency strategy for such cases or compensate if they do not i have talked to the manager of customer service and was told that there is nothing they can do as this is their policy i believe that if not on legal basis british airways should have compensated out of customer service reasons because a hour delay within europe is significant many times i picked to fly with british airways based on the expectations of good customer service in the case of anything going wrong but this experience proved to me that its not worth investing that extra money into flying with british airways
757,london heathrow to bengaluru i found the crew very friendly and even humorous whenever the airhostesses passed through the aisle i was on a seat next to the aisle we would exchange some friendly comments which almost always lead to muffled laughs one air hostess admitted that she enjoyed such conversations which made the stress of her work lighter
758,madrid to london we paid for business class and then paid for specific seats the original booking was from iberia part of iag which operates ba iberia and air lingus ba clearly do not integrate into iberias systems since after paying for and closing our seats upon checking in we found our seats had been changed by ba these flights were operated by iberia and ba ba being the return leg from madrid to london heathrow ba explained that they would have to check if we were due a refund total joke since we paid for the seats additionally the ba said the flight was full and could not change the seats no explanation as to why we paid for specific seats in business and they were changed by ba without notice well accept the refund on this occasion since there is nothing else we can do and never use ba or iberia again which is a shame since iberia cs has always reflected all and iag ba has let the customer down again just simply poor ba and low bar as always expected more for full fare business class rated since as we were let down and did not receive an explanation and were initially told that we would not get a refund on the paid for allocated seats
759,dublin to london heathrow british airways offered a very good overall service on this flight i booked online and found that process very easy the caveat was not being able to select the seat i wanted ahead of travel without paying another fee the checkin lady was very friendly and helpful and gave a good account of herself the flight departed ontime and the captain made frequent announcements within the previous two weeks i had flown with ba twice within europe and this flight was by the best of the thanks to the staff the flight was relatively short but well managed with a nice drop down map and staff visibly make a real effort one curiosity was the staff handing out uk landing cards the flight was punctual and reliable
760,london to seattle my seat was on the upper deck a nice perk for seattle flights to europe ba is the only one flying s to europe from seattle overall the product is outdated service was not at the level it used to be staff is polite and professional but they keep the service to a minimum upper deck crew on this flight was mainly uninterested except the bare minimum no additional service no top ups not offering water during the flight of course if you ask for something you do get it there was also a lot of traffic on the stairway connecting upper and lower deck with the crew congregating at the lower deck i hope ba will improve their act i certainly wont use their services in foreseeable future
761,london to gibraltar check in at t was fine lounge was good and staff were more proactive than was previously the case flight was good with decent lunch served including the kids meals which were fine skilled landing in gibraltar a good flight
762,london to boston ba replaced a with a very old boeing video system did not work for more than hour then work for a few hours and stopped working no wifi very old plane service ok not good for business traveling
763,london to doha similar to our outbound flight the seats are comfortable but behind the competition very small storage area if you are tall try sleeping sitting up or in the cradle position as the bed is just not long enough the food portions seems like you are forced to go on a diet though the taste was ok the entertainment system had the worst selection of any airline i have flown lately but their check in baggage policy makes them a very attractive option when you see what their opposition charges for excess luggage
764,london heathrow to houston despite sitting at the back of the plane we were really well looked after without exception all of the staff in this cabin were exceptionally friendly and professional they really seemed to be enjoying their work lunch and a pre landing snack were provide together with an ice cream mid flight commendably even in these days of austerity my pre lunch gin was served with fever tree tonic well done ba frequent drinks runs were made despite its age the jumbo was well turned out internally the only downside was because of air traffic issues at heathrow the flight arrived late this meant that we almost missed our connecting domestic flight this was mainly down to tardy immigration procedures the need to pick up our bags and transfer to another terminal for our ongoing flight all very stressful
765,larnaca to london this a is totally unsuitable for a flight of this length the seat pitch and width are the same for economy and club having paid for my flight its disgraceful on flight where you are sitting for more than hours in an expensive club europe seat the personal space is so tight if the person in front reclined their seat its a nightmare the seat in the middle is blocked but getting out if the seats in front are reclined is hazardous you pay for a club ticket for space and comfort and get nothing
766,i booked my ba flight from zurich to london heathrow using avios my frequent flyer number had to be added times during the booking process when i tried to reserve an aisle seat for medical reasons the ba website showed that all of the seats had been allocated save for a few seats for which i would have had to pay about thirty pounds the checkin area for ba at zurich airport is in a hard to find spot of the airport the checkin agent was very professional helpful and informative the area of departure from zurich was by transfer train the flight boarded in an orderly manner and left more or less on time i was dismayed to see cabin crew serve alcohol to a group of already drunk german speaking sports fans one of the cabin crew declared that she had run out of beer and then suggested to an increasingly loud and aggressive man that he might like the cider instead in the meantime the same crew members ignored me and other passengers while offering the trolley service the overhead maps were not used and the captain made minimal announcements during the flight none of which were in german the flight arrived reasonably promptly
767,the booking process was easy enough but they have reduced the baggage allowance in terms of the seats one can book the cost of including a bag added considerably to the cheapest fare checkin was well managed and it was good to see passengers with too much luggage required to check their bags in departure was well managed and although there was a delay the captain communicated well my gripe is that my seat was dirty and the window was also dirty some of the to buy ms food items were not available and the lavatory i used was dirty the staff were very professional and pleasant and the dropdown route map was nice especially for the younger passengers to enjoy hardworking crew
768,london to tokyo narita had a fantastic flight in the new ba first cabin on the boeing on both journeys the crew were outstanding as was the food and the service the food was of high end restaurant standard the seat comfortable
769,bridgetown to london gatwick paid for a business class flight the onboard service was abysmal no refreshments offered on boarding dinner took three hours to be served on a night flight my husband had to go to the galley twice for his dinner requests hed been forgotten i requested express service which didnt happen website advertises premium levels of service and every journey unique and unforgettable the service was dreadful but the journey was definitely unforgettable for the wrong reasons dont waste your money with this airline you dont get what you pay for and they try to compensate by offering loyalty points and telling you that you dont pay for the service that the extra costs are for taxes the lounge and extra loyalty points all ba could respond with was a goodwill gesture of loyalty points really
770,st lucia to gatwick on which my wife and i were both involuntarily downgraded from premium economy to economy due overbooking on the flight it should be noted that at no time was there any announcement for volunteers for downgrading at vieux fort airport i now know from your cabin crew that it is normal practice for appeals for volunteers to be put over the tannoy system before any enforced downgrades at the time of going through the baggage hall getting our boarding passes we queried them as none had seat numbers on them to which we were told to just to go through security and our seats would be allocated when we went through the departure gate once in the departure lounge all four of us were tannoyed to return to the baggage hall when we were then told that my wife and i were being downgraded to economy the male telling us this more or less indicated this was the only way we would be getting on the flight giving us per each on a prepayment card as compensation under article of ec stating however that this did not affect our statutory rights he then told us he would find us in the departure lounge and then all four of us had to go through security once again the male who we spoke to in the baggage hall did not come and find us we had to go and find him when he also told me that he had put my wife and i on a row with no other passengers which we assumed rightly or wrongly was so we could not tell people sitting beside us about the poor service we had received from ba however two other passengers did come and sit beside us with the passenger sitting beside my wife telling her this was because the seat they had been allocated was soaking wet and smelt of urine and the cabin crew had asked them to sit on it with a cushion which they had refused and so they were given the seats next to us which was no problem what further concerned me even more was one of your cabin crew walking past another passenger with their seat in the reclined position on three separate occasions just prior to approaching gatwick and after the pilot had requested seat belts on and seats in upright positions never telling the passenger to raise their seat bas latest advert celebrates years of ba but for me their service is going backwards the music that accompanies the advert is called salvation and by the end of the flight my wife and i were surely seeking it article of ec regulation is worth reading if this happens to you
771,chicago to london cancelled flights just a few hours before i left home then put me on a different flight which would have made it impossible to make my connecting flight was finally put on a different flight on the way home because my first flight was through american airlines and the second through british airways all in the same booking i was only able to check in and get a seat on the american airlines flight as i was redirected every time to their website couldnt check in for the british airways flight so had to have a middle seat which is very uncomfortable i always check in hours before to guarantee a seat but ba wouldnt allow me to do this
772,london to bangalore this was the worst experience i flew with my infant daughter ande cabin crew was extremely rude i was surprised that there was no way to heat milk for my daughter i found the food portions so meagre not sufficient for a child also british airways is sad in every sense of the term
773,hamburg to abu dhabi via heathrow the h flight from hamburg to heathrow was like flying a budget carrier no free service at all everything has to be purchased at inflated prices heathrow t the usual chaos i can use the f lounge due to my one world status massive lounge crowded with the charm and food quality of a cafeteria toilets filthy one of the worst lounges ive seen boarding orderly and well organized boeing ife screen broken seats very uncomfortable and narrow service and food quality average flight abu dhabi to heathrow delayed by almost an hour due to late arrival of the flight crew this is something i have never experieinced before rest of the journey uneventful overall a rather disappointing experience ba cannot compete with the middle eastern carriers
774,london to seville following on from mistakenly booking a return flight with ba despite having a previous confirmed booking with a competitor i quickly called up ba to resolve the issue they understood the problem and gave me a full refund the agent was exceptionally helpful on the phone and provided me a quick answer and solution to the problem i dont believe most airlines would have accepted my reasoning however its great to see ba treat their customers with care
775,doha to paris via london this is the first time using ba since october nothing has changed the same reversible business class seats with very little storage space still comfortable but the business has caught up with ba and left them behind with very poor entertainment selection and limited food choice it cannot compare with other business leaders like cathay and qatar airways but on this route ba charges the same price as qatar airways but delivers a much poorer product though the service was ok not as personal but alright where they are better is with their check in luggage policy of bags kgs each they are superior and generous i will still use them but look forward to them rolling in the new business class
776,madrid to london ba on the couldnt have been a better service long time since i flew club europe but it was an amazing experience the welcome aboard was excellent and so was the service and food stephen one of the flight attendants was so attentive and happy to help that he probably made it the best short haul flight experience i have had in a long time well done to the crew on that flight
777,on the flight to tokyo i was separated from my wife even though it was our honeymoon thanks the return felt like a hour easyjet flight one meal and one half meal limited drinks very small seats im foot and my knees touched the seat in front very very mediocre
778,london to vancouver check in agent very helpful in searching out seat options very smooth process the disappointment was the receptionist at the galleries lounge at t who was rude and unhelpful all was redeemed once on board the crew were excellent throughout the flight in the best british airways tradition friendly helpful and attentive food not great but on a par with economy in other airlines wines better than many airlines the aircraft was clean and reasonably well maintained for an older ife selection good
779,the first class zone at heathrow t and the concorde lounge are very good service on board was excellent in both directions the cabin layout is unimpressive and the food is nothing to write home about the screen is small with poor resolution i enjoyed the flights in both directions mainly because of the service this first does not compare well with that of middle eastern and asian airlines but ba business class is so poor i either fly economy or when i am very lucky try to fly first
780,i had a miserable experience in first class from london to chicago i had requested a special meal but that was not available when i complained to customer relations they simply said too bad and insulted me by offering k miles the bathroom lacked amenities and i found the service was barebones the angled suite is not private and when i stretched my feet hit a metal band in the middle of the foot rest video screen is small and must be stowed away min before landing cabin crew never asked what i wanted and were only available when you press the call button in flight entertainment is poor
781,leeds bradford to las vegas via heathrow customer services handling of my question never answered it three times i asked them to explain why the cost of my one checked bag caused the fare to increase over on the outbound flight this was before any increase other than the increase announced for the short lba lhr fare i asked why the fare was so much when i could have booked a seat for the bag for about the response was we are doing what everyone else is doing they never could explain why the fare increased by over when i indicated one checked bag i asked to speak with someone but that was never responded to book lhr las at that time and one bag included customer service apparently did not understand what i was asking because the answer provided was nonresponsive
782,dallas to london heathrow in first class this is the worst experience i have had on a flight the crew was indifferent and unresponsive and treated you more like you were a nuisance to them there was even less service from this so called first class crew than you get in tourist class in most airlines the attitude and service of the crew was abysmal when you have average food and wine on offer and a rather outdated cabin in first class at least you should prioritize service as your competitive advantage to your full paying customers this was nothing but a waste of money i doubt very much i will go back to british airways again
783,tenerife to heathrow effectively a budget airline masquerading at premium airline prices have flown several budget airlines in the past which have offered far more in terms of value for money and service seats are rigid and i felt as if i was leaning forward for the the majority of the flight when i tried to put my seat back to recline i estimate it moved around degrees leg room is also non existent ms food ran out halfway through the hour flight and although cabin crew were apologetic for food to run out during a lunchtime flight is inexcusable and highlights how badly the airline is being managed by the upper echelons furthermore several other budget airlines at the airport had flights leaving directly from the terminal requiring no bussing of passengers ba again in a move to save money opt for bussing passengers to the far reaches of the airport to avoid paying extra charges for utilising direct access from airport terminals cant fault the staff onboard who are clearly dedicated to the ba brand they are professional friendly and courteous its clear that british airways are not the airline they once were and i hope that passengers begin to vote with their feet as drastic changes are needed to bring the airline back to its former glory
784,heathrow to larnaca departed on time flight nearly full ms food available to passengers ran out while cabin crew were half way down the aisle larnaca to heathrow two messages received while in larnaca airport the flight would be delayed by over an hourdeparture was supposed to be at pm but we took off nearer to pm the second message was that there was no food to be served on the flight we recognise that this does not meet with the standards you expect from us the flight was hours longso this combination of a delayed departure and no food available on board is totally unacceptable worse than a budget airline a midnight arrival at heathrow was then compounded by off loading cargo before the passengers because of a balance problem in addition i was incorrectly charged eur on the return leg for my case it was clearly the same case that i travlled out to cyprus with but the system identified it as extra baggage cattle class is an under rated description of the service offered to customers the only saving grace was the cabin crewparticularly the customer service managerwho promised to follow up the baggage issue and logged my complaint it will take ages to resolve but he was helpful and pleasant throughout how british airways can offer such a poor product and expect people to keep flying with them is beyond me
785,los angeles to london a very enjoyable and comfortable flight on the new recliner seat set up on the ba have raised their game and provides a superior seat to make for a relaxed flight if you are travelling solo a retractable divider gives you privacy from your neighbour only problem is the xx layout is one too many seats across as it leaves two very narrow gangways if you have an aisle seat in the turn right section in business class you will be constantly whacked unintentionally by economy section passengers with their carryons when boarding food and drinks were excellent with courses served separately and the wine bottle frequently produced by flight attendants who gave a great service to their passengers entertainment choice also excellent with a film choice for everyone thanks also to two people most of us forget the flight crew who got us safely to heathrow minutes early and put the plane down so gently we hardly noticed we had arrived well done ba for providing such a good product and service
786,london to phoenix ba yesterday the plane was supposed to land at however it landed at because of this i missed my connecting flight to ontario california aboard american airlines by the time i was able to go through custom and pick up my luggage it was already the flight departs at i went to the ground crew of american airlines they told me that i will not be able to make it to my connecting flight as they are already on the runway they then directed me to british airways i went to the ground attendant of british airways and she told me to go back to american airlines to get it re booked i went back to american airlines then they told me again to back to british airways since they are they the one who caused the delay i went back to british airways with the american airlines supervisor the british airways attendant gave me a card with the customer service number and told me to call them in the morning she did not offer any explanations or anything american airlines said we can re booked it for tomorrow morning but they did not offer any accommodation i ended up getting my own car rental and drove from phoenix to california in the middle of the night since i was not able to resolve this issues with both airlines
787,san francisco to london after paying for flights which i had to cancel they wouldnt allow any change of dates or change of name and after all that wouldnt give me the avios points because i wont be on the flight
788,rome to london one of the best european airlines to travel with for short haul flights the online website is very clear and easy to use checkin procedure was smooth the gate was very close to the shopping area boarding the flight was very well organised and quick and through the airbridge the only negative aspect is that you will need to pay for a drink as they dont serve anything free on all european routes
789,cologne to gatwick in economy class with an silver status ba card no online checkin available ba website suggests passenger to arrive at the airport hours before flight departure but airport checkin the only available option starts hours before departure no lounge available there is a lounge in the terminal open to other airline customers except ba no priority boarding for business and elite level passengers boarding the plane by bus not even free water on board in economy
790,tampa to gatwick i paid to have my seats bumped up to business class and when i got to the airport they wouldnt let me on the flight because someone on their side messed up when they booked my seats so instead of honoring my seats they just sat there for an hour telling me they cant do anything and i cant get on the plane they waited till the very last second before the check in period closed to reissue my tickets and wont reimburse me for the seats that i paid for but never received
791,london heathrow to madrid i travel from lhr regularly british airways have proved to be reliable and their service is of good quality as a frequent traveler ive been able to use the priority boarding and also managed to get exit row seats this airline is very good with providing tangible benefits to silver members the lounge at heathrow terminal is also very good and provides a good selection of food and refreshments the bar is very well stocked and also a good selection of soft drinks available im very happy with the airline service and would definitely recommend british airways keep it up guys
792,gatwick to st lucia return recently returned from a two week holiday with my wife in caribbean for a th birthday celebration tickets bought in august and decided to spoil ourselves with a club class return having flown out premium economy arrived at airport to be told that wed been downgraded to premium economy due to overbooking apologetic ground staff defending the indefensible but no apology on the plane fuming all the way back to london exacerbated by hopeless cabin staff service tea when i asked for coffee and filthy food complained on return through ba exec club webiste with response from customer service days later ba claims that overbooking is a very rare occurrence and gave a lukewarm apology evidence from ground staff on both journeys contradicts this and it seems to be a standard occurrence during peak season we booked early so probably had relatively cheap seats ba has presumably made money by selling our tickets to a higher bidder general quality of ba service food and wine has fallen dramatically over the last few years ba is now effectively a low cost airline flying a fleet of very tired aircraft trying to preserve the gloss of a quality airline the accountants may win in the short term but passengers will vote with their feet avoid this airline if you possible can and the final insult in booking premium seats with ba is that you get charge to pre reserve in club and in premium economy ba you are having a laugh with the flying public on this performance you dont deserve to stay in business
793,its been many years since i flew long haul british airways and i was pleasantly surprised by recent flights ba staff used to be offhand and inhospitable but thats all changed from the time of arriving at london heathrow t the staff have been really friendly and helpful similarly on the flight the attendants couldnt do enough for me when i requested tomato juice with worcester sauce the attendant made a special trip to the rear to get it on the way back i asked for a tonic water and again they offered to go and get it the seating of these newer planes allows me knee room even though im ft ins and the headrest can be slid up high enough too the entertainment system though a little quirky in its operation and menu system compared to the slickness of cathay pacific nevertheless had a good range of movies and tv to watch both flights ended up arriving on time despite delays at heathrow both ways and the pilots kept us cheerfully informed as what was going on food quality was reasonable again not up to the standard of cathay pacific rather let down by a filled croissant for breakfast which i thought was a bit mean overall a very pleasant flight thanks ba is this because competition is hotting up and ba now have to try harder
794,london heathrow pisa return my wife and i fly this route times a year as we have a home in tuscany sometimes we pay in long advance to get a decent price or we pay using avios this return trip was the latter it is what it is the most miserable rip off for a business class seat in the world i have seen last minute flights on this route as high as return ba should be ashamed of themselves the only reason we fly this product is that you get the business class lounges in both directions the seating is at the front of the plane for a speedy exit the new meals are quite good and the free is it really free booze the seats are the biggest con three seats for two with a dumb table in the middle unless you are in the front row the leg room is a disaster on the way out we had a nice tomato and mozzarella salad wine on the way back a ploughmans lunch it was okayish as a year old businessman one who has worked globally in my career in the us japan and the middle east and having sold my business a few years ago to one of the largest plcs in the country i think i know a bit about running companies i know i could do a lot better than the current board at ba last week when i was away i read that ba have posted well in excess of one billion profits last year oh what a surprise and thats the clear objective of the directors so what would i do with club europe id make it the best in europe the seat would be larger like an arm chair a configuration there would be a nice centre table charge ports for phoneslaptops headsets tv screens mainly for news but some movies for flights over hours extra of leg room behind row nice cutlery and glasschina ware hot meals and id probably sell it at a flight more build value guys and the profits will follow its the oldest dictum in the book i will give credit where credit is due on the way back on the ground the captain announced there was possible a technical problem with the starboard aileron as an aviation buff i loseley understood the problem and figured it was not really a big deal clearly some passengers were worried we were on a duff plane he picked up on that and took the initiative to take a relaxed walk the length of plane asking if anyone had concerns or questions one or two did and he answered their concerns in a calm and thoughtful way and explained he was only taking a precautionary measure very nice chap we took off hours later when it was fixed and everything was fine fas in both directions were very good
795,edinburgh to boston via london the planes are ancient and need to be replaced if these were cars they would have an antique plate the seats are uncomfortable and worn there is no lumbar support the space between the seatback in front and your face is inches its really claustrophobic the food is awful and last evening we were not offered a choice so for each we had horrible seats and terrible food the short connecting flights do not even offer bottled water the ms menu is expensive and offers limited choices meal deals in the airport convenience and drug stores offer much better options for less than half the price the planes on both long legs of the trip last week were filthy the cabin crew on the bos to lhr and lhr to edi were good there was one member in the lhr to bos who was snippy to passengers and seemed put out by needing to do her job boarding is supposed to be by group but was a disaster as people queued up well before their section was called and it made it extremely difficult to get to board british airways has become like a budget airline who does not charge budget pricing
